band,station_idx,t,month_t,u_hat_t,v_hat_t,h_hat_t,u_ref_t,v_ref_t,month_s,u_hat_s,v_hat_s,h_hat_s,u_ref_s,v_ref_s
C14,524,1762214400000000000,2025-11,1.5445005893707275,0.48578789830207825,1666.1624755859375,-1.4571208012208818,1.690269526810078,2025-11,2.680844306945801,0.005489706993103027,1688.9281005859375,-1.4274154764570641,1.7569844651759197
C14,529,1762214400000000000,2025-11,-1.2613810300827026,-5.723913669586182,2598.510009765625,-1.6160415345624617,-5.259019156690917,2025-11,-0.0009443759918212891,-3.6491897106170654,2295.011962890625,-1.7659272033763256,-5.427501258109885
C14,532,1762214400000000000,2025-11,1.9249186515808105,-4.472471714019775,2010.89111328125,-2.429521655422259,-6.605646780985169,2025-11,2.017237663269043,-3.8436028957366943,3047.685791015625,-0.6588374470630352,-1.5771388939615876
C14,525,1762257600000000000,2025-11,-0.2220928966999054,-0.4337254464626312,1573.781982421875,0.003900313612838399,-6.118580515010361,2025-11,1.3145475387573242,-1.0396515130996704,1540.5888671875,0.0034047169579987085,-6.059127406984074
C14,532,1762257600000000000,2025-11,0.8285813331604004,-3.392561912536621,1784.8623046875,-2.2364789679768453,-6.23225273526767,2025-11,0.6696407794952393,-2.2825889587402344,2218.866455078125,-5.532460719315221,-4.305929154311802
C14,806,1762257600000000000,2025-11,1.1016209125518799,0.32582563161849976,1492.294921875,-0.7500583097855208,7.399129455525648,2025-11,1.2753138542175293,0.7362880110740662,1313.3472900390625,-0.8851482681807781,9.274445757378285
C14,523,1762300800000000000,2025-11,-0.20064114034175873,-0.6766103506088257,1338.158203125,-3.2250862514720415,4.813950168359692,2025-11,1.0451040267944336,-0.10238340497016907,1362.4853515625,-3.1081761475313447,4.921078537653167
C14,525,1762300800000000000,2025-11,2.0358328819274902,-1.2421045303344727,2287.294677734375,-1.95770021797327,-1.6467782548575474,2025-11,0.8933401107788086,0.13400036096572876,1635.7293701171875,1.0035658393530218,-3.5909664969367436
C14,800,1762300800000000000,2025-11,6.230134963989258,1.4288222789764404,1531.7254638671875,1.9670738643703778,3.2295652645197794,2025-11,4.920095443725586,0.7923360466957092,1322.723388671875,1.1915737336063075,3.6557379218274297
C14,806,1762300800000000000,2025-11,1.097786545753479,-0.754335880279541,1849.8214111328125,1.337990485101177,2.0588977094677796,2025-11,3.007923126220703,-0.44449523091316223,1350.8883056640625,-0.4656693500536697,4.105153287886401
C14,821,1762300800000000000,2025-11,5.295632362365723,1.1419461965560913,2034.39892578125,1.7498966460806888,4.807698252896166,2025-11,9.969833374023438,6.719274997711182,1250.8077392578125,-2.2958749774912532,2.667409807814344
C14,132,1762344000000000000,2025-11,7.408740997314453,-6.244868755340576,1132.93603515625,3.7225326572128674,-6.417579716704616,2025-11,5.725399017333984,-5.884148597717285,1005.6064453125,3.98795152871413,-6.375469155174331
C14,528,1762344000000000000,2025-11,0.22619487345218658,-0.6633825898170471,1663.9945068359375,-1.4218758117200896,1.4036336415283888,2025-11,0.39954113960266113,-0.3406590521335602,1903.308837890625,-1.595985002703972,0.907911896679354
C14,804,1762344000000000000,2025-11,-0.773313581943512,3.7027628421783447,1091.383544921875,-1.1776847884163155,5.629680246543758,2025-11,-0.2742655277252197,3.6872990131378174,1552.053955078125,-1.4009305542373989,4.917804487422923
C14,147,1762387200000000000,2025-11,9.167509078979492,-9.555432319641113,1803.99267578125,6.5908186031598595,-10.121734901126473,2025-11,8.383447647094727,-8.669036865234375,1603.517578125,6.2657146385002696,-10.16755558891948
C14,522,1762387200000000000,2025-11,3.7679555416107178,-1.2027559280395508,1759.3658447265625,-0.8438178661166783,-4.252821461374939,2025-11,3.3052446842193604,-0.4604301452636719,2219.67431640625,0.3450149089204023,-2.5715344364316897
C14,532,1762387200000000000,2025-11,0.45232218503952026,-1.526847243309021,1298.2760009765625,1.1833460980421173,-2.311873990341034,2025-11,0.5681450366973877,-1.459310531616211,2050.556640625,1.3169668133318648,-2.2760704282664648
C14,801,1762387200000000000,2025-11,-0.4267370402812958,0.9831576347351074,2655.042724609375,0.9135541141140493,0.3920640443164651,2025-11,-0.30132150650024414,1.852069616317749,1708.55615234375,0.3745805221121069,1.8559801439443135
C14,522,1762430400000000000,2025-11,0.4613693058490753,-0.17827758193016052,1160.3909912109375,3.4180868030692615,-5.175109816866908,2025-11,-0.06856274604797363,0.5329305529594421,1856.1229248046875,2.52868993735853,0.20305211544221158
C14,522,1762473600000000000,2025-11,3.5028977394104004,-1.2862138748168945,1628.4747314453125,1.871484161478885,-3.4980693310205146,2025-11,2.5387825965881348,-0.07932454347610474,2035.13720703125,2.45634311627245,-2.5800245835147777
C14,523,1762473600000000000,2025-11,0.4644150733947754,-0.8275647163391113,1074.285888671875,-3.057006666493413,-0.012639712809146886,2025-11,0.1489865779876709,0.7018226981163025,1464.488037109375,-2.942422095713001,-3.634557929342408
C14,821,1762473600000000000,2025-11,5.993834495544434,-1.9359885454177856,2587.34130859375,3.8196193867669024,-2.950427356047458,2025-11,6.964414119720459,-0.31517937779426575,1338.96875,-0.03187941755206619,-2.5837234231866586
C14,241,1762516800000000000,2025-11,-1.221734881401062,2.5635058879852295,1414.3426513671875,-2.3058815992024004,-1.847717835591638,2025-11,-2.2505722045898438,4.269193172454834,1864.9444580078125,-0.9475589633271226,-3.7544678711514434
C14,242,1762516800000000000,2025-11,-1.0900988578796387,1.6840382814407349,1683.18603515625,1.735393675524308,-1.1960696714899695,2025-11,-1.3395363092422485,1.4791319370269775,1101.4061279296875,-9.456639389160415e-05,0.7960383725976119
C14,525,1762516800000000000,2025-11,-0.5688902139663696,0.6664292812347412,1017.554443359375,-1.536065622174049,2.277452966961005,2025-11,-0.9104928970336914,2.098506450653076,1830.209228515625,-1.5182320728663505,-1.033807424715158
C14,530,1762516800000000000,2025-11,0.037924788892269135,1.047027349472046,2879.161376953125,-0.2387195877474244,1.533952878395947,2025-11,0.7992725372314453,1.1945164203643799,2224.68701171875,0.8553984612491841,0.5313784434435375
